id,meal_name,energy,protein,fat,cho,consistency,dish_type,color,main_ingredient_1,main_ingredient_2,meal_group
1,Asma Yaprağında Sardalya,285.63,32.98,16.12,2.15,0,1,0,0,2,1
2,Çinekop Izgara,195.25,32.19,7.28,0.01,0,1,2,0,,1
3,Fırında Palamut,304.83,39.94,13.42,5.12,0,1,2,0,,1
4,Mezgit Buğulama,359.31,43.83,10,21.42,0,1,2,0,,1
5,Mezgit Tava,322.8,45.74,13.64,3.98,0,1,2,0,,1
6,Kağıtta Palamut,297.32,34.34,11.98,12.27,0,1,2,0,,1
7,Uskumru Tava,253.02,28.32,13.93,3.62,0,1,2,0,,1
8,Kiremitte Mezgit,217.3,32.91,8.79,1.3,0,1,2,0,,1
9,Uskumru Dolması,483.59,41.03,30.49,11.55,0,1,2,0,3,1
10,Ayvalı Tas Kebap,508.21,24.75,21.22,53.66,0,1,1,0,5,2
11,Ayvalı Yahni,390.3,45.84,18.63,9.05,0,1,1,0,5,2
12,Bahçıvan Kebabı,452.8,32.18,30.36,12.82,0,1,1,0,2,17
13,Bitlis Köftesi,453.56,24.29,15.94,52.56,0,1,1,0,3,18
14,Buğu Kebabı,341.05,48.3,13.77,5.35,0,1,2,2,1,17
15,Çerkez Tavuğu,265.8966,34.69183,18.91875,9.2,0,1,2,0,3,3
16,Elbasan Tava,349.84,52.5,13.31,4.62,0,1,2,0,1,2
17,Harput Köftesi,258.07,35.65,10.25,5.69,0,1,1,0,3,18
18,Hasanpaşa Köftesi,349.35,27.35,19.14,16.67,0,1,1,0,2,18
19,İncik Yahnisi,218.1,15.63,17,0.98,0,1,2,0,2,2
20,Izgara Köfte,320.4,36.77,14.42,10.68,0,1,1,0,,18
21,İzmir Köfte,302.78,22.4,20.02,8.3,0,1,1,0,2,18
22,Kadınbudu Köfte,433.95,25.51,29.89,16.16,0,1,1,0,3,18
23,Kağıt Kebabı,308.97,21.78,22.32,5.36,0,1,3,2,3,17
24,Kayseri Köftesi,393.15,27.41,22.28,20.34,0,1,1,0,2,18
25,Koyun Kol Sarma,359.85,27.43,27.37,1.51,0,1,2,0,2,2
26,Kuzu Kapama,401.16,57.59,16.68,4.75,0,1,2,0,2,2
27,Kuzu Tandırda(Tandır Kebabı),731.73,62.82,52.85,2.06,0,1,2,0,,2
28,Orman Kebabı,391.94,49.15,13.76,16.87,0,1,1,0,2,17
29,Patlıcan Kebabı,362.45,22.74,27.3,6.64,0,1,1,0,2,17
30,Patlıcanlı Köfte,331.31,6.85,14.48,42.91,0,1,1,0,2,18
31,Sac Kavurması,313.8,23.67,22.95,3.39,0,1,1,0,2,17
32,Saray Usulü Piliç,495.23,39.32,28.21,21.1,0,1,1,0,3,3
33,Sebzeli Piliç Güveci,235.45,51.18,1.18,3.97,0,1,1,0,2,3
34,Simit Kebabı,337.8,23.88,18.16,19.65,0,1,1,0,,17
35,Şeftali Kebabı,275.1,21.26,20.79,1.13,0,1,1,0,,17
36,Şiş Köfte,283.55,34.83,13.57,5.4,0,1,1,0,2,18
37,Tas Kebabı,422.4,31.71,24.86,17.59,0,1,1,0,2,17
38,Tavuk Köftesi,352.89,36.14,17.24,13.15,0,1,1,0,,3
39,Tavuk Şiş Kebap,346.9,34.4,20.65,5.7,0,1,1,0,2,3
40,Tavuk Yahni,337.78,42,14.81,8.51,0,1,2,0,2,3
41,Terbiyeli Köfte,281.15,25.12,16.29,8.47,1,1,2,2,1,18
42,Şehriyeli Güveç,407.76,20.37,20.49,35.35,0,1,1,3,0,2
43,Alinazik,412.45,31.48,26,12.28,3,1,3,0,1,4
44,Etli Kuru Bamya,196.52,13.27,10.89,7.38,3,1,1,0,2,4
45,Etli Taze Fasulye,203.68,14.92,11.08,10.83,3,1,3,0,2,4
46,Fasulye Dible,232.83,5.42,13.57,22.21,0,2,3,2,3,7
47,Güveç,281.41,19.52,15.6,15.15,3,1,1,0,2,2
48,Hünkar Beğendi,546.19,37.86,37.35,14.82,3,1,,0,,4
